WaveNumber,DarkFastFast,DarkSlowFast,DarkFastSlow,DarkSlowSlow,LiteFastFast,LiteSlowFast,LiteFastSlow,LiteSlowSlow
408.2323,68.45966,60.22279,62.75049,65.4448,65.21459,64.58064,70.84862,72.43612
408.3528,68.07664,60.82648,63.08681,64.94248,64.83724,64.30461,70.36943,70.99499
408.4734,67.90863,61.65347,63.6422,64.38629,64.47646,63.83929,69.86351,69.82391
408.5939,68.02255,62.54705,64.36777,63.89904,64.11523,63.19197,69.36961,69.03133
408.7144,68.42929,63.33721,65.19312,63.57536,63.77601,62.4261,68.90733,68.63129
408.835,69.08113,63.86613,66.01956,63.46692,63.52164,61.66949,68.48846,68.56991
408.9555,69.87451,64.03774,66.73204,63.56152,63.41984,61.07308,68.11711,68.75828
409.076,70.66714,63.83335,67.21114,63.78886,63.49842,60.75358,67.79688,69.10938
409.1965,71.29666,63.31137,67.34198,64.03872,63.72117,60.75947,67.53867,69.56189
409.3171,71.63433,62.58995,67.05791,64.21313,63.9975,61.04885,67.36493,70.09232
409.4376,71.61499,61.81377,66.35722,64.25913,64.21742,61.52154,67.31382,70.7033
409.5581,71.24976,61.13548,65.31643,64.18919,64.29927,62.06217,67.43961,71.40509
409.6786,70.62224,60.67703,64.07687,64.06859,64.22742,62.59331,67.78989,72.18828
409.7992,69.86882,60.51621,62.82514,63.98693,64.05373,63.08914,68.39034,73.00937
409.9197,69.15482,60.66228,61.75816,64.02047,63.87363,63.56783,69.21688,73.78922
410.0403,68.62244,61.04696,61.0172,64.19569,63.77502,64.05859,70.19107,74.44018
410.1608,68.3709,61.52332,60.6611,64.47827,63.80115,64.5703,71.18343,74.8903
410.2813,68.42992,61.8987,60.64101,64.7842,63.94088,65.0761,72.05559,75.12068
410.4018,68.75896,62.00574,60.83522,65.02222,64.14934,65.52531,72.70948,75.17216
410.5224,69.26486,61.74247,61.08802,65.12144,64.38826,65.86758,73.11395,75.135
410.6429,69.83186,61.11907,61.27481,65.0615,64.65778,66.07709,73.31038,75.11552
410.7634,70.3539,60.24947,61.34251,64.86794,64.9991,66.15959,73.384,75.19252
410.8839,70.74378,59.32334,61.30734,64.59216,65.46523,66.13754,73.42846,75.39553
411.0045,70.94607,58.53478,61.22833,64.2769,66.07477,66.02673,73.49831,75.69177
411.125,70.93417,58.01674,61.16175,63.93324,66.77793,65.81882,73.58076,76.00132
411.2455,70.70024,57.82269,61.13268,63.53754,67.44679,65.48297,73.59988,76.22259
411.3661,70.25439,57.92163,61.12372,63.05019,67.91768,64.99274,73.44932,76.27753
411.4866,69.62083,58.23661,61.09504,62.44413,68.06275,64.35916,73.05054,76.14014
411.6071,68.84792,58.67289,61.01035,61.72758,67.83537,63.65181,72.38912,75.84263
411.7277,68.0061,59.15131,60.8619,60.95395,67.30223,62.98287,71.53933,75.45746
411.8482,67.18242,59.62104,60.67879,60.20684,66.61071,62.4634,70.63486,75.06628
411.9687,66.47264,60.04963,60.5096,59.57908,65.93597,62.15214,69.83074,74.73056
412.0892,65.95492,60.41619,60.39271,59.13466,65.40704,62.02207,69.2356,74.47288
412.2098,65.6776,60.7031,60.33569,58.8992,65.07797,61.96675,68.88358,74.27921
412.3303,65.65913,60.89426,60.31223,58.8634,64.93238,61.84184,68.72957,74.117
412.4508,65.8876,60.98283,60.28025,59.00023,64.91739,61.53439,68.67786,73.95702
412.5714,66.32449,60.98119,60.20929,59.27762,64.98263,61.0091,68.61598,73.78907
412.6919,66.90378,60.92407,60.10019,59.66042,65.10534,60.33104,68.45643,73.62851
412.8124,67.54283,60.85707,59.98771,60.10969,65.29333,59.63668,68.16891,73.50687
412.933,68.14396,60.8283,59.92805,60.57232,65.56659,59.0891,67.78596,73.46268
413.0535,68.61726,60.87066,59.96812,60.98504,65.93045,58.81289,67.39026,73.52421
413.174,68.90761,60.99261,60.12207,61.29323,66.36259,58.85025,67.07953,73.69802
413.2945,69.00184,61.18824,60.36928,61.46531,66.8113,59.17144,66.947,73.97058
413.4151,68.93474,61.44347,60.66296,61.50958,67.2105,59.69812,67.05511,74.3104
413.5356,68.77586,61.74517,60.95675,61.47516,67.50021,60.34557,67.42027,74.67568
413.6561,68.60931,62.07841,61.21571,61.44269,67.6346,61.03474,68.01084,75.01801
413.7766,68.50452,62.41916,61.42886,61.49222,67.59081,61.70489,68.74515,75.29596
413.8972,68.48923,62.72491,61.60104,61.67014,67.36966,62.30587,69.51307,75.48483
414.0177,68.54333,62.93176,61.74199,61.97114,66.99369,62.78708,70.1894,75.58739
414.1382,68.61059,62.96966,61.85307,62.33553,66.50681,63.10535,70.6818,75.63776
414.2588,68.63353,62.78484,61.92879,62.67941,65.97123,63.23967,70.95311,75.68909
414.3793,68.57781,62.35976,61.96935,62.92099,65.47562,63.21176,71.03355,75.80166
414.4998,68.45596,61.72876,61.99426,63.01436,65.11717,63.09472,71.0092,76.01529
414.6204,68.31895,60.97052,62.04888,62.95755,64.98693,63.00106,70.995,76.33231
414.7409,68.23548,60.19713,62.19775,62.78201,65.14706,63.05936,71.10636,76.71185
414.8614,68.25253,59.51461,62.49369,62.53284,65.60162,63.35754,71.41586,77.08334
414.9819,68.37573,59.00245,62.95094,62.24733,66.29265,63.91451,71.93525,77.36591
415.1025,68.55495,58.70044,63.52235,61.94594,67.1106,64.66312,72.60889,77.4978
415.223,68.70837,58.60949,64.10728,61.63411,67.93835,65.47834,73.33466,77.46484
415.3435,68.74425,58.70211,64.57053,61.31894,68.67727,66.20992,73.98512,77.30515
415.4641,68.59668,58.93573,64.7868,61.02319,69.27708,66.7339,74.44269,77.10396
415.5846,68.25355,59.26242,64.69313,60.78807,69.74274,66.99622,74.64069,76.95994
415.7051,67.75996,59.62576,64.31347,60.66827,70.11288,67.0131,74.57084,76.95888
415.8257,67.19992,59.96383,63.75617,60.70831,70.42999,66.85512,74.29059,77.13803
415.9462,66.65957,60.22209,63.16035,60.9228,70.71257,66.60497,73.89477,77.47605
416.0667,66.20567,60.35782,62.65361,61.29324,70.94208,66.32375,73.49076,77.89192
416.1872,65.86861,60.35915,62.30048,61.77433,71.07317,66.03143,73.16096,78.26946
416.3078,65.64759,60.25036,62.09053,62.31187,71.06125,65.71449,72.93904,78.49525
416.4283,65.5302,60.09199,61.95709,62.85255,70.88251,65.34847,72.80892,78.469
416.5488,65.50475,59.96431,61.81375,63.35546,70.55107,64.924,72.71231,78.13612
416.6693,65.56772,59.93915,61.59506,63.79243,70.11558,64.45985,72.57619,77.49783
416.7899,65.72243,60.05744,61.27942,64.1442,69.64666,64.00218,72.3322,76.60945
416.9104,65.97411,60.31091,60.90193,64.39954,69.21085,63.60585,71.94655,75.56708
417.0309,66.32217,60.64796,60.53671,64.55273,68.85639,63.31701,71.42828,74.48561
417.1515,66.75713,60.99088,60.27591,64.60509,68.61217,63.16462,70.82822,73.48664
417.272,67.25926,61.27084,60.19538,64.56878,68.48705,63.15392,70.22105,72.66724
417.3925,67.79996,61.44969,60.33446,64.46726,68.47729,63.27198,69.69115,72.09022
417.5131,68.33762,61.52965,60.68131,64.33452,68.56549,63.49247,69.31584,71.7707
417.6336,68.82584,61.54944,61.17452,64.20262,68.71868,63.78115,69.14157,71.66821
417.7541,69.21196,61.56598,61.70981,64.08855,68.88685,64.09988,69.18103,71.69765
417.8746,69.44574,61.63078,62.16401,63.98365,69.00853,64.41113,69.41292,71.74833
417.9952,69.48969,61.76708,62.434,63.85231,69.03015,64.68752,69.79867,71.72947
418.1157,69.32153,61.96797,62.44975,63.63919,68.92034,64.91371,70.28976,71.59252
418.2362,68.94418,62.20126,62.19559,63.29259,68.68617,65.0908,70.83344,71.35315
418.3568,68.38664,62.42442,61.71361,62.7897,68.37242,65.23079,71.37451,71.08401
418.4773,67.71156,62.59157,61.10044,62.15633,68.05098,65.35145,71.84285,70.89912
418.5978,67.00563,62.6643,60.48478,61.47306,67.7869,65.46222,72.16282,70.90726
418.7184,66.35056,62.61543,59.97432,60.8433,67.5996,65.55574,72.27528,71.16009
418.8389,65.80791,62.42966,59.62381,60.36194,67.45592,65.61254,72.16302,71.64178
418.9594,65.40226,62.10568,59.41832,60.07931,67.28826,65.61307,71.86211,72.27985
419.0799,65.13503,61.65702,59.29788,59.99897,67.03662,65.55132,71.44845,72.9882
419.2005,65.00441,61.11614,59.19029,60.09791,66.67508,65.44196,71.01971,73.68939
419.321,65.01714,60.53928,59.04694,60.34361,66.22556,65.31295,70.66356,74.32374
419.4415,65.18649,60.00205,58.85883,60.70222,65.74241,65.19204,70.43617,74.83942
419.562,65.51098,59.59656,58.6597,61.12849,65.29633,65.09027,70.34826,75.17699
419.6826,65.95003,59.39273,58.51222,61.56482,64.93555,64.98371,70.35077,75.27971
419.8031,66.4129,59.40674,58.47615,61.94289,64.66827,64.81976,70.35251,75.11641
419.9236,66.77261,59.5804,58.57519,62.19851,64.46069,64.53516,70.25021,74.70971
420.0442,66.92218,59.81015,58.77767,62.29991,64.27278,64.10019,69.98704,74.14198
420.1647,66.81154,59.99306,59.0125,62.25471,64.08927,63.53572,69.56875,73.53139
420.2852,66.45763,60.06954,59.19712,62.10058,63.93753,62.90894,69.05693,72.99566
420.4058,65.92447,60.03936,59.27338,61.88354,63.86903,62.30095,68.52982,72.61125
420.5263,65.29278,59.94236,59.21156,61.64315,63.92985,61.77818,68.0573,72.4071
420.6468,64.63925,59.83718,59.01302,61.4036,64.13342,61.37224,67.68179,72.36794
420.7673,64.01743,59.77442,58.70343,61.17389,64.44589,61.06864,67.41138,72.44632
420.8879,63.46819,59.78822,58.3265,60.95548,64.78973,60.81797,67.22986,72.57906
421.0084,63.02513,59.88998,57.93808,60.75177,65.06983,60.55671,67.10966,72.70724
421.1289,62.7215,60.07381,57.59572,60.5723,65.21166,60.23942,67.02382,72.79253
421.2495,62.60266,60.32315,57.36029,60.43553,65.183,59.85618,66.95659,72.81856
421.37,62.71504,60.61766,57.28228,60.36089,65.00817,59.44363,66.90438,72.78937
421.4905,63.08648,60.93938,57.38939,60.35715,64.75042,59.0642,66.87009,72.71708
421.6111,63.70775,61.26922,57.67905,60.41344,64.4833,58.78328,66.85408,72.61018
421.7316,64.51671,61.58814,58.11091,60.49796,64.25709,58.63423,66.84897,72.46793
421.8521,65.40991,61.87942,58.61937,60.56877,64.08324,58.60597,66.83916,72.28343
421.9726,66.25538,62.12741,59.12069,60.58564,63.94157,58.64595,66.80605,72.04836
422.0932,66.93792,62.3214,59.54104,60.52908,63.79867,58.68126,66.7337,71.76113
422.2137,67.384,62.45757,59.83239,60.40655,63.63001,58.64227,66.61307,71.42784
422.3342,67.57615,62.53666,59.98006,60.25225,63.42999,58.47909,66.44034,71.06364
422.4547,67.55376,62.56003,60.00443,60.11427,63.21341,58.17874,66.21445,70.68732
422.5753,67.39719,62.52998,59.95185,60.04135,63.00507,57.76985,65.93408,70.32056
422.6958,67.20509,62.4482,59.87995,60.06952,62.82667,57.32256,65.59741,69.98772
422.8163,67.05582,62.31762,59.83192,60.20951,62.68601,56.93042,65.20678,69.71495
422.9369,66.98856,62.14856,59.82378,60.44856,62.57939,56.69159,64.77576,69.52757
423.0574,66.99904,61.95972,59.83865,60.7561,62.50004,56.68081,64.33539,69.44466
423.1779,67.05473,61.7715,59.83937,61.09805,62.44944,56.92115,63.9299,69.46623
423.2985,67.12051,61.60244,59.78953,61.44358,62.43997,57.38036,63.60989,69.56829
423.419,67.17773,61.45974,59.67035,61.76724,62.48701,57.97594,63.42075,69.70467
423.5395,67.23158,61.33977,59.49162,62.0497,62.59596,58.60725,63.38916,69.82339
423.66,67.30003,61.2336,59.2868,62.27268,62.75667,59.17169,63.52446,69.88097
423.7806,67.40134,61.13717,59.10464,62.42093,62.94331,59.59205,63.81568,69.8623
423.9011,67.54169,61.05759,58.99248,62.48791,63.12487,59.83341,64.23632,69.78718
424.0216,67.70938,61.01839,58.99149,62.47698,63.27273,59.90198,64.74186,69.70808
424.1422,67.87849,61.05222,59.12338,62.40651,63.36956,59.84066,65.27443,69.69214
424.2627,68.02101,61.18639,59.38696,62.3047,63.4106,59.70962,65.77074,69.79166
